zip,num_vehicles,num_chargers,_merge,vehicles_per_charger,valid_zip
92234,0.0,14,right_only,0.0,1
92236,0.0,2,right_only,0.0,1
92240,0.0,8,right_only,0.0,1
92243,0.0,8,right_only,0.0,1
92249,0.0,1,right_only,0.0,1
92251,0.0,5,right_only,0.0,1
92252,0.0,5,right_only,0.0,1
92253,0.0,11,right_only,0.0,1
92256,0.0,1,right_only,0.0,1
92260,0.0,9,right_only,0.0,1
92262,0.0,57,right_only,0.0,1
92264,0.0,14,right_only,0.0,1
92270,0.0,21,right_only,0.0,1
92274,0.0,1,right_only,0.0,1
92277,0.0,6,right_only,0.0,1
92284,0.0,5,right_only,0.0,1
92301,0.0,1,right_only,0.0,1
92307,0.0,3,right_only,0.0,1
92308,0.0,1,right_only,0.0,1
92309,0.0,7,right_only,0.0,1
92311,0.0,19,right_only,0.0,1
92313,0.0,4,right_only,0.0,1
92315,0.0,10,right_only,0.0,1
92316,0.0,5,right_only,0.0,1
92317,0.0,1,right_only,0.0,1
92320,0.0,2,right_only,0.0,1
92324,0.0,12,right_only,0.0,1
92325,0.0,1,right_only,0.0,1
92328,0.0,1,right_only,0.0,1
92331,0.0,1,right_only,0.0,1
92332,0.0,2,right_only,0.0,1
92335,0.0,26,right_only,0.0,1
92336,0.0,7,right_only,0.0,1
92337,0.0,1,right_only,0.0,1
92345,0.0,11,right_only,0.0,1
92346,0.0,24,right_only,0.0,1
92352,0.0,4,right_only,0.0,1
92354,0.0,25,right_only,0.0,1
92356,0.0,2,right_only,0.0,1
92363,0.0,5,right_only,0.0,1
92364,0.0,3,right_only,0.0,1
92373,0.0,3,right_only,0.0,1
92374,0.0,25,right_only,0.0,1
92376,0.0,9,right_only,0.0,1
92377,0.0,3,right_only,0.0,1
92382,0.0,1,right_only,0.0,1
92384,0.0,2,right_only,0.0,1
92385,0.0,1,right_only,0.0,1
92392,0.0,12,right_only,0.0,1
92394,0.0,8,right_only,0.0,1
92395,0.0,14,right_only,0.0,1
92397,0.0,1,right_only,0.0,1
92398,0.0,6,right_only,0.0,1
92399,0.0,3,right_only,0.0,1
92401,0.0,4,right_only,0.0,1
92404,0.0,15,right_only,0.0,1
92405,0.0,1,right_only,0.0,1
92407,0.0,3,right_only,0.0,1
92408,0.0,94,right_only,0.0,1
92410,0.0,26,right_only,0.0,1
92411,0.0,3,right_only,0.0,1
92415,0.0,2,right_only,0.0,1
92501,0.0,22,right_only,0.0,1
92503,0.0,17,right_only,0.0,1
92504,0.0,16,right_only,0.0,1
92505,0.0,2,right_only,0.0,1
92506,0.0,5,right_only,0.0,1
92507,0.0,46,right_only,0.0,1
92508,0.0,6,right_only,0.0,1
92509,0.0,9,right_only,0.0,1
92518,0.0,6,right_only,0.0,1
92530,0.0,6,right_only,0.0,1
92532,0.0,2,right_only,0.0,1
92539,0.0,5,right_only,0.0,1
92543,0.0,3,right_only,0.0,1
92544,0.0,2,right_only,0.0,1
92545,0.0,4,right_only,0.0,1
92549,0.0,2,right_only,0.0,1
92553,0.0,10,right_only,0.0,1
92555,0.0,21,right_only,0.0,1
92557,0.0,9,right_only,0.0,1
92562,0.0,25,right_only,0.0,1
92563,0.0,17,right_only,0.0,1
92570,0.0,5,right_only,0.0,1
92571,0.0,9,right_only,0.0,1
92582,0.0,1,right_only,0.0,1
92584,0.0,4,right_only,0.0,1
92586,0.0,1,right_only,0.0,1
92590,0.0,11,right_only,0.0,1
92591,0.0,16,right_only,0.0,1
92592,0.0,23,right_only,0.0,1
92595,0.0,4,right_only,0.0,1
92596,0.0,4,right_only,0.0,1
92602,0.0,16,right_only,0.0,1
92603,0.0,62,right_only,0.0,1
92604,0.0,32,right_only,0.0,1
92606,0.0,19,right_only,0.0,1
92610,0.0,8,right_only,0.0,1
92612,0.0,131,right_only,0.0,1
92614,0.0,60,right_only,0.0,1
92617,0.0,103,right_only,0.0,1
92618,0.0,338,right_only,0.0,1
92620,0.0,13,right_only,0.0,1
92624,0.0,1,right_only,0.0,1
92625,0.0,3,right_only,0.0,1
92626,0.0,99,right_only,0.0,1
92627,0.0,4,right_only,0.0,1
92629,0.0,11,right_only,0.0,1
92630,0.0,19,right_only,0.0,1
92637,0.0,9,right_only,0.0,1
92639,0.0,1,right_only,0.0,1
92646,0.0,4,right_only,0.0,1
92647,0.0,24,right_only,0.0,1
92648,0.0,31,right_only,0.0,1
92649,0.0,2,right_only,0.0,1
92651,0.0,13,right_only,0.0,1
92653,0.0,10,right_only,0.0,1
92656,0.0,17,right_only,0.0,1
92657,0.0,10,right_only,0.0,1
92660,0.0,91,right_only,0.0,1
92663,0.0,13,right_only,0.0,1
92672,0.0,12,right_only,0.0,1
92673,0.0,8,right_only,0.0,1
92675,0.0,10,right_only,0.0,1
92677,0.0,13,right_only,0.0,1
92679,0.0,1,right_only,0.0,1
92683,0.0,20,right_only,0.0,1
92688,0.0,3,right_only,0.0,1
92691,0.0,7,right_only,0.0,1
92692,0.0,16,right_only,0.0,1
92694,0.0,18,right_only,0.0,1
92697,0.0,3,right_only,0.0,1
