zip,num_ev_vehicles,num_ev_stations,ev_vehicles_per_station
93402,0.0,1,0.0
93405,0.0,22,0.0
93407,0.0,11,0.0
93420,0.0,9,0.0
93422,0.0,16,0.0
93424,0.0,3,0.0
93426,0.0,2,0.0
93427,0.0,3,0.0
93428,0.0,7,0.0
93430,0.0,3,0.0
93432,0.0,1,0.0
93433,0.0,3,0.0
93436,0.0,11,0.0
93440,0.0,2,0.0
93442,0.0,3,0.0
93446,0.0,55,0.0
93449,0.0,23,0.0
93450,0.0,1,0.0
93451,0.0,1,0.0
93452,0.0,3,0.0
93453,0.0,1,0.0
93454,0.0,35,0.0
93455,0.0,14,0.0
93458,0.0,5,0.0
93460,0.0,10,0.0
93461,0.0,1,0.0
93463,0.0,9,0.0
93465,0.0,5,0.0
93499,0.0,1,0.0
93501,0.0,12,0.0
93510,0.0,1,0.0
93514,0.0,7,0.0
93516,0.0,4,0.0
93517,0.0,3,0.0
93523,0.0,4,0.0
93527,0.0,8,0.0
93534,0.0,24,0.0
93535,0.0,10,0.0
93536,0.0,12,0.0
93541,0.0,1,0.0
93543,0.0,2,0.0
93545,0.0,1,0.0
93546,0.0,7,0.0
93549,0.0,2,0.0
93550,0.0,7,0.0
93551,0.0,20,0.0
93552,0.0,2,0.0
93555,0.0,3,0.0
93561,0.0,15,0.0
93562,0.0,1,0.0
93601,0.0,1,0.0
93610,0.0,7,0.0
93611,0.0,12,0.0
93612,0.0,16,0.0
93614,0.0,4,0.0
93616,0.0,1,0.0
93618,0.0,3,0.0
93622,0.0,7,0.0
93623,0.0,3,0.0
93625,0.0,4,0.0
93630,0.0,11,0.0
93631,0.0,2,0.0
93635,0.0,11,0.0
93636,0.0,1,0.0
93637,0.0,11,0.0
93638,0.0,9,0.0
93640,0.0,10,0.0
93644,0.0,11,0.0
93645,0.0,1,0.0
93646,0.0,2,0.0
93647,0.0,1,0.0
93648,0.0,4,0.0
93650,0.0,4,0.0
93651,0.0,1,0.0
93654,0.0,2,0.0
93657,0.0,5,0.0
93660,0.0,1,0.0
93662,0.0,9,0.0
93673,0.0,2,0.0
93702,0.0,1,0.0
93703,0.0,6,0.0
93704,0.0,19,0.0
93706,0.0,7,0.0
93710,0.0,14,0.0
93711,0.0,7,0.0
93720,0.0,32,0.0
93721,0.0,27,0.0
93722,0.0,24,0.0
93726,0.0,8,0.0
93727,0.0,15,0.0
93728,0.0,9,0.0
93730,0.0,3,0.0
93740,0.0,7,0.0
93901,0.0,18,0.0
93905,0.0,10,0.0
93906,0.0,3,0.0
93907,0.0,7,0.0
93908,0.0,5,0.0
93920,0.0,4,0.0
93921,0.0,3,0.0
93923,0.0,19,0.0
93924,0.0,3,0.0
93927,0.0,1,0.0
93930,0.0,5,0.0
93933,0.0,35,0.0
93940,0.0,25,0.0
93950,0.0,16,0.0
93953,0.0,7,0.0
93955,0.0,32,0.0
93960,0.0,8,0.0
94002,0.0,2,0.0
94005,0.0,41,0.0
94010,0.0,97,0.0
94014,0.0,8,0.0
94015,0.0,12,0.0
94018,0.0,2,0.0
94019,0.0,10,0.0
94022,0.0,20,0.0
94024,0.0,4,0.0
94025,0.0,307,0.0
94027,0.0,3,0.0
94028,0.0,5,0.0
94030,0.0,25,0.0
94035,0.0,1,0.0
94038,0.0,1,0.0
94040,0.0,43,0.0
94041,0.0,10,0.0
94043,0.0,93,0.0
94044,0.0,5,0.0
94061,0.0,10,0.0
94062,0.0,18,0.0
94063,0.0,111,0.0
94065,0.0,63,0.0
94066,0.0,12,0.0
94070,0.0,15,0.0
94080,0.0,192,0.0
94085,0.0,19,0.0
94086,0.0,112,0.0
94087,0.0,24,0.0
94089,0.0,31,0.0
94102,0.0,24,0.0
94103,0.0,59,0.0
94104,0.0,5,0.0
94105,0.0,36,0.0
94107,0.0,40,0.0
