zip,num_ev_vehicles,num_ev_stations,ev_vehicles_per_station
92142,4.0,0.0,
92143,8.0,0.0,
92145,9.0,0.0,
92149,2.0,0.0,
92150,19.0,0.0,
92153,8.0,0.0,
92154,1785.0,8.0,223.125
92155,6.0,0.0,
92159,4.0,0.0,
92160,6.0,0.0,
92161,0.0,1.0,0.0
92163,13.0,0.0,
92165,4.0,0.0,
92166,4.0,0.0,
92167,6.0,0.0,
92168,5.0,0.0,
92169,9.0,0.0,
92170,1.0,0.0,
92172,16.0,0.0,
92173,370.0,5.0,74.0
92174,2.0,0.0,
92175,2.0,0.0,
92176,9.0,0.0,
92177,5.0,0.0,
92178,8.0,0.0,
92182,3.0,17.0,0.17647058823529413
92191,2.0,0.0,
92192,12.0,0.0,
92193,5.0,0.0,
92195,6.0,0.0,
92196,10.0,0.0,
92198,14.0,0.0,
92201,661.0,19.0,34.78947368421053
92202,5.0,0.0,
92203,1023.0,2.0,511.5
92210,304.0,23.0,13.217391304347826
92211,1083.0,21.0,51.57142857142857
92220,520.0,4.0,130.0
92223,2035.0,9.0,226.11111111111111
92225,54.0,12.0,4.5
92226,1.0,0.0,
92227,137.0,3.0,45.666666666666664
92230,20.0,6.0,3.3333333333333335
92231,284.0,3.0,94.66666666666667
92232,5.0,0.0,
92233,6.0,2.0,3.0
92234,1064.0,14.0,76.0
92235,7.0,0.0,
92236,241.0,2.0,120.5
92239,3.0,0.0,
92240,423.0,8.0,52.875
92241,78.0,0.0,
92242,2.0,0.0,
92243,434.0,8.0,54.25
92244,8.0,0.0,
92245,1.0,0.0,
92247,9.0,0.0,
92248,11.0,0.0,
92249,44.0,1.0,44.0
92250,22.0,0.0,
92251,302.0,5.0,60.4
92252,101.0,5.0,20.2
92253,1338.0,11.0,121.63636363636364
92254,35.0,0.0,
92255,7.0,0.0,
92256,48.0,1.0,48.0
92257,5.0,0.0,
92258,9.0,0.0,
92260,892.0,9.0,99.11111111111111
92261,6.0,0.0,
92262,1320.0,57.0,23.157894736842106
92263,34.0,0.0,
92264,1040.0,14.0,74.28571428571429
92267,2.0,0.0,
92268,14.0,0.0,
92270,1388.0,21.0,66.0952380952381
92273,3.0,0.0,
92274,56.0,1.0,56.0
92275,4.0,0.0,
92276,97.0,0.0,
92277,169.0,6.0,28.166666666666668
92278,2.0,0.0,
92281,4.0,0.0,
92282,17.0,0.0,
92283,1.0,0.0,
92284,284.0,5.0,56.8
92285,20.0,0.0,
92286,5.0,0.0,
92301,295.0,1.0,295.0
92305,3.0,0.0,
92307,541.0,3.0,180.33333333333334
92308,502.0,1.0,502.0
92309,1.0,7.0,0.14285714285714285
92310,70.0,0.0,
92311,174.0,19.0,9.157894736842104
92312,3.0,0.0,
92313,227.0,4.0,56.75
92314,76.0,0.0,
92315,68.0,10.0,6.8
92316,249.0,5.0,49.8
92317,43.0,1.0,43.0
92318,2.0,0.0,
92320,297.0,2.0,148.5
92321,14.0,0.0,
92322,6.0,0.0,
92324,630.0,12.0,52.5
92325,112.0,1.0,112.0
92327,1.0,0.0,
92328,1.0,1.0,1.0
92329,21.0,0.0,
92331,12.0,1.0,12.0
92332,1.0,2.0,0.5
92333,11.0,0.0,
92334,7.0,0.0,
92335,827.0,26.0,31.807692307692307
92336,4570.0,7.0,652.8571428571429
92337,682.0,1.0,682.0
92339,18.0,0.0,
92340,10.0,0.0,
92341,5.0,0.0,
92342,108.0,0.0,
92344,431.0,0.0,
92345,772.0,11.0,70.18181818181819
92346,1128.0,24.0,47.0
92347,4.0,0.0,
92350,6.0,0.0,
92352,139.0,4.0,34.75
92354,763.0,25.0,30.52
92356,29.0,2.0,14.5
92358,17.0,0.0,
92359,123.0,0.0,
92363,16.0,5.0,3.2
92364,0.0,3.0,0.0
92365,8.0,0.0,
92368,7.0,0.0,
92369,8.0,0.0,
92371,144.0,0.0,
92372,61.0,0.0,
92373,1319.0,3.0,439.6666666666667
92374,1084.0,25.0,43.36
92375,18.0,0.0,
92376,776.0,9.0,86.22222222222223
92377,527.0,3.0,175.66666666666666
92378,8.0,0.0,
92382,67.0,1.0,67.0
92384,1.0,2.0,0.5
92385,13.0,1.0,13.0
92386,19.0,0.0,
92391,23.0,0.0,
92392,925.0,12.0,77.08333333333333
92393,10.0,0.0,
92394,516.0,8.0,64.5
92395,537.0,14.0,38.357142857142854
92397,107.0,1.0,107.0
